MD;GR;DRX
5250.05;26.79;
5250.20;28.01;
5250.35;27.10;
5250.50;25.54;
5250.66;25.47;
5250.81;25.96;
5250.96;26.86;
5251.11;26.79;
5251.27;26.87;
5251.42;27.72;
5251.57;27.65;
5251.72;28.18;
5251.88;26.95;
5252.03;26.94;
5252.18;25.54;
5252.33;27.25;
5252.49;27.27;
5252.64;28.29;
5252.79;27.48;
5252.94;27.95;
5253.09;26.68;
5253.25;26.08;
5253.40;25.95;
5253.55;26.42;
5253.70;28.81;
5253.86;27.82;
5254.01;26.87;
5254.16;25.28;
5254.31;25.74;
5254.47;26.49;
5254.62;25.86;
5254.77;25.34;
5254.92;25.40;
5255.08;25.41;
5255.23;25.65;
5255.38;26.28;
5255.53;26.24;
5255.69;24.98;
5255.84;23.36;
5255.99;23.23;
5256.14;23.89;
5256.30;24.71;
5256.45;23.08;
5256.60;22.48;
5256.75;21.96;
5256.90;21.42;
5257.06;22.07;
5257.21;21.93;
5257.36;23.02;
5257.51;22.15;
5257.67;21.66;
5257.82;20.85;
5257.97;20.46;
5258.12;19.82;
5258.28;21.13;
5258.43;21.67;
5258.58;21.06;
5258.73;20.52;
5258.89;20.46;
5259.04;20.16;
5259.19;18.17;
5259.34;17.13;
5259.50;17.31;
5259.65;18.25;
5259.80;17.77;
5259.95;18.55;
5260.11;18.25;
5260.26;18.32;
5260.41;17.31;
5260.56;15.62;
5260.71;14.94;
5260.87;15.09;
5261.02;16.31;
5261.17;18.44;
5261.32;20.15;
5261.48;21.72;
5261.63;22.08;
5261.78;21.57;
5261.93;20.63;
5262.09;19.92;
5262.24;20.49;
5262.39;19.54;
5262.54;19.47;
5262.70;18.88;
5262.85;19.16;
5263.00;19.56;
5263.15;19.84;
5263.31;20.94;
5263.46;19.77;
5263.61;17.99;
5263.76;16.94;
5263.92;17.43;
5264.07;18.94;
5264.22;18.78;
5264.37;18.00;
5264.52;17.55;
5264.68;19.10;
5264.83;20.10;
5264.98;19.31;
5265.13;17.89;
5265.29;16.52;
5265.44;17.85;
5265.59;18.32;
5265.74;20.33;
5265.90;19.99;
5266.05;20.24;
5266.20;19.33;
5266.35;18.98;
5266.51;18.00;
5266.66;17.52;
5266.81;17.80;
5266.96;19.34;
5267.12;19.63;
5267.27;19.52;
5267.42;20.10;
5267.57;20.45;
5267.73;20.42;
5267.88;19.16;
5268.03;18.33;
5268.18;17.82;
5268.33;17.41;
5268.49;17.19;
5268.64;18.72;
5268.79;21.13;
5268.94;23.58;
5269.10;21.94;
5269.25;19.06;
5269.40;17.16;
5269.55;17.56;
5269.71;18.24;
5269.86;17.60;
5270.01;16.44;
5270.16;15.82;
5270.32;16.75;
5270.47;19.06;
5270.62;21.14;
5270.77;20.45;
5270.93;19.15;
5271.08;17.45;
5271.23;17.70;
5271.38;16.98;
5271.54;17.95;
5271.69;17.76;
5271.84;18.13;
5271.99;17.23;
5272.14;17.34;
5272.30;18.27;
5272.45;18.81;
